Tournament,Group,Golfer,Current OWGR,Last Week OWGR,End of last year OWGR,Recent Tournament 1,Recent Toounament 1 result,Recent Tournament 2,Recent Toounament 2 result,Recent Tournament 3,Recent Toounament 3 result,Recent Tournament 4,Recent Toounament 4 result
PGA Championship,2,Billy Horschel,18,18,42,Zurich Classic of New Orleans,T4,Valspar Championship,DNP,Wells Fargo Championship,DNP,AT&T Byron Nelson,DNP
PGA Championship,2,Abraham Ancer,19,19,23,Zurich Classic of New Orleans,DNP,Valspar Championship,5,Wells Fargo Championship,2,AT&T Byron Nelson,DNP
PGA Championship,2,Paul Casey,20,20,24,Zurich Classic of New Orleans,DNP,Valspar Championship,T21,Wells Fargo Championship,DNP,AT&T Byron Nelson,DNP
PGA Championship,3,Lee Westwood,21,23,36,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,DNP,AT&T Byron Nelson,T21
PGA Championship,3,Harris English,22,24,28,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,T43,AT&T Byron Nelson,T13
PGA Championship,3,Sungjae Im,23,21,18,Zurich Classic of New Orleans,CUT,Valspar Championship,T29,Wells Fargo Championship,CUT,AT&T Byron Nelson,DNP
PGA Championship,3,Scottie Scheffler,24,22,31,Zurich Classic of New Orleans,T8,Valspar Championship,T29,Wells Fargo Championship,DNP,AT&T Byron Nelson,T47
PGA Championship,3,Cameron Smith,25,25,27,Zurich Classic of New Orleans,1,Valspar Championship,DNP,Wells Fargo Championship,DNP,AT&T Byron Nelson,DNP
PGA Championship,3,Jordan Spieth,26,28,82,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,DNP,AT&T Byron Nelson,T9
PGA Championship,3,Tommy Fleetwood,28,26,17,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,T14,AT&T Byron Nelson,DNP
PGA Championship,3,Joaquin Niemann,29,29,45,Zurich Classic of New Orleans,DNP,Valspar Championship,T8,Wells Fargo Championship,T18,AT&T Byron Nelson,DNP
PGA Championship,3,Will Zalatoris,30,30,59,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,CUT,AT&T Byron Nelson,T17
PGA Championship,3,Louis Oosthuizen,31,32,22,Zurich Classic of New Orleans,2,Valspar Championship,T8,Wells Fargo Championship,DNP,AT&T Byron Nelson,DNP
PGA Championship,4,Ryan Palmer,32,31,30,Zurich Classic of New Orleans,7,Valspar Championship,T63,Wells Fargo Championship,DNP,AT&T Byron Nelson,T47
PGA Championship,4,Victor Perez,33,33,32,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,DNP,AT&T Byron Nelson,DNP
PGA Championship,4,Kevin Na,34,35,38,Zurich Classic of New Orleans,DNP,Valspar Championship,T29,Wells Fargo Championship,DNP,AT&T Byron Nelson,DNP
PGA Championship,4,Jason Kokrak,35,34,26,Zurich Classic of New Orleans,T21,Valspar Championship,T13,Wells Fargo Championship,DNP,AT&T Byron Nelson,DNP
PGA Championship,4,Sam Burns,36,44,154,Zurich Classic of New Orleans,T4,Valspar Championship,1,Wells Fargo Championship,DNP,AT&T Byron Nelson,2
PGA Championship,4,Marc Leishman,37,38,29,Zurich Classic of New Orleans,1,Valspar Championship,DNP,Wells Fargo Championship,DNP,AT&T Byron Nelson,T21
PGA Championship,4,Adam Scott,38,36,21,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,DNP,AT&T Byron Nelson,DNP
PGA Championship,4,Corey Conners,39,37,54,Zurich Classic of New Orleans,DNP,Valspar Championship,T21,Wells Fargo Championship,T43,AT&T Byron Nelson,DNP
PGA Championship,4,Max Homa,40,39,100,Zurich Classic of New Orleans,T17,Valspar Championship,T6,Wells Fargo Championship,CUT,AT&T Byron Nelson,DNP
PGA Championship,4,Christiaan Bezuidenhout,41,40,34,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,DNP,AT&T Byron Nelson,DNP
PGA Championship,5,Justin Rose,42,41,35,Zurich Classic of New Orleans,T11,Valspar Championship,CUT,Wells Fargo Championship,DNP,AT&T Byron Nelson,DNP
PGA Championship,5,Stewart Cink,43,42,138,Zurich Classic of New Orleans,DNP,Valspar Championship,DNP,Wells Fargo Championship,T37,AT&T Byron Nelson,DNP
